expression	gene	Subtype
2.34602078355548	CD274	low
2.11196608960349	CD274	low
1.81623105034211	CD274	low
2.46092600108791	CD274	low
2.43941037421331	CD274	low
2.31817220300303	CD274	low
2.43725437631546	CD274	low
2.06015117094676	CD274	low
2.30024089301226	CD274	low
2.54596836910529	CD274	low
2.36784629387483	CD274	low
2.33368133484022	CD274	low
2.32791725741865	CD274	low
2.34868566933439	CD274	low
2.07826824713921	CD80	high
1.79925312356064	CD80	high
2.07296327155522	CD80	high
1.88072470178394	CD80	high
1.71475105934309	CD80	high
2.79910803430212	CD80	high
2.74940554564075	CD80	high
2.4676968363726	CD80	high
2.3819478006891	CD80	high
2.03959464865226	CD80	high
2.26207228839841	CD80	high
1.63180275492413	CD80	high
2.89838251041178	CD80	high
2.67807190511264	CD80	high
2.292693418256	CD80	high
1.57385922157595	CD80	high
2.54843662469604	CD80	high
1.47155166563934	CD80	high
1.95828590092326	CD80	high
1.01941726095356	CD80	high
2.46553049003037	CD80	high
2.07001142970138	CD80	high
2.29213386314254	CD80	high
2.04858495757305	CD80	high
2.74489302377433	CD80	high
2.30027018363628	CD80	high
1.18148424977028	CD80	high
2.41792000781197	CD80	high
2.60454581636871	CD80	high
1.42368573044214	CD80	high
2.80359903017327	CD80	high
2.08004361990506	CD80	high
2.47391676130987	CD80	high
2.64731450954714	CD80	high
1.75983759648808	CD80	high
2.12316954315582	CD80	high
2.14505785988821	CD80	high
2.33848146536253	CD80	high
1.94811488390599	CD80	high
2.68685905537813	CD80	high
2.63012585232438	CD80	high
2.37681823756408	CD80	high
2.40629175588013	CD80	high
2.56798344644513	CD80	high
2.54858458583056	CD80	high
2.69490247363163	CD80	high
2.65411470259058	CD80	high
2.74168270037297	CD80	high
2.25432192484499	CD80	high
2.58971555612098	CD80	high
1.5489297694764	CD80	high
3.07608016949772	CD80	high
2.71067971888052	CD80	high
1.97753637982285	CD80	high
1.68414547237453	CD80	high
2.53657516079976	CD80	high
2.6826856523993	CD80	high
2.13661796187693	CD80	high
2.29495886963256	CD80	high
2.85137926439317	CD80	high
2.574077281269	CD80	high
2.79865194447364	CD80	high
1.71004046577509	CD80	high
2.575893164772	CD80	high
2.76317783469014	CD80	high
0	CD80	high
2.59364060808925	CD80	high
2.21372054536698	CD80	high
2.11752882398867	CD80	high
2.02027105298374	CD80	high
2.45987747365771	CD80	high
1.58014548442338	CD80	high
2.33087386544737	CD80	high
2.26020635801053	CD80	high
2.45475496109782	CD80	high
2.10339692449223	CD80	high
2.30182173633936	CD80	high
1.49405713231368	CD80	high
2.2123514396501	CD80	high
2.16742216028192	CD80	high
2.57080292009578	CD80	high
2.75358314384617	CD80	high
2.95745033634712	CD80	high
2.60167274865682	CD80	high
2.5972927910378	CD80	high
1.75146372116556	CD80	high
2.49779117463948	CD80	high
2.81831885761269	CD80	high
2.51840924386967	CD80	high
2.40007335070442	CD80	high
2.627886945895	CD80	high
2.3540007188045	CD80	high
2.03428615771194	CD80	high
2.58301354657571	CD80	high
2.61943648795029	CD80	high
2.48715187699322	CD80	high
2.89139974338567	CD80	high
2.88945407283103	CD80	high
2.68302266506368	CD80	high
2.5211512696379	CD80	high
1.65429804747291	CD80	high
2.59583780000781	CD80	high
2.61025121684943	CD80	high
2.64159226857218	CD80	high
2.00701605056239	CD80	high
2.5392084513737	CD80	high
2.29466485609124	CD80	high
1.95646560592559	CD80	high
2.21831620724691	CD80	high
1.57908357896209	CD80	high
2.46793154602629	CD80	high
2.3974744170459	CD80	high
0.498148726210151	CD80	high
2.35707337272948	CD80	high
2.77323681204236	CD80	high
2.66339016545189	CD80	high
2.39391037754418	CD80	high
2.55414676674651	CD80	high
1.74217872013884	CD80	high
2.58791699822866	CD80	high
2.38039699198845	CD80	high
2.2887719672474	CD80	high
2.64825834275073	CD80	high
2.23164744491895	CD80	high
2.70624320051389	CD80	high
2.27112682678252	CD80	high
2.69499159352052	CD80	high
2.37428833916903	CD80	high
2.49290427766436	CD80	high
2.73589038579588	CD80	high
2.63971838300591	CD80	high
2.78762052084846	CD80	high
2.76477076438708	CD80	high
2.76644675049144	CD80	high
2.53431066500972	CD80	high
2.30739937954348	CD80	high
1.68356172163026	CD80	high
2.88904514842223	CD80	high
2.4165965705707	CD80	high
2.26375557307745	CD80	high
