Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-30-1855-01	0.0381296209072726	0.0307144802820378	0.00263784204487911	0.10327204659455	0	0.173083445876167	0	0.128186187192109	0.0644578626989629	0	0	0.0656145086509637	0.0582631081427611	0.0525761374542245	0.065580191833954	0.16142224485761	0.00246037602034906	0.0342782405262024	0.00935381737587828	0	0	0.00996988954207844	0	0.290041771176859	0.969378360449739
TCGA-25-1324-01	0.119811542503464	0	0.142801061278336	0.128612569632174	0	0.0456261893342424	0	0.168762678618357	0.0208712210780792	0	0	0.00761680447339557	0.0355630171883438	0.166842917753381	0.0493011653100187	0.0381246602235265	0	0.0760661726066803	0	0	0	0	0	0.231163291447691	0.987760200106557
TCGA-09-2056-01	0.0331552023869981	0	0.0768541597454539	0.130276876707466	0	0.210894358774741	0	0.0630809776517946	0.0484123151408182	0	0.00659432824341164	0.0277965360881648	0.0697632009982636	0.00996724557346211	0.0438206506055487	0.129974596575819	0.043095076088303	0.0557981933289812	0	0.0325593337934431	0	0.0179569482973305	0	0.290540471822076	0.963846762216963
TCGA-29-1701-01	0.0302503385540963	0	0.0965550564697437	0.0981350328989651	0	0.136335537848335	0	0.13446639162554	0.047726269701158	0	0.0452726010902075	0.00180981990695647	0.0667647385198533	0.0749003016272462	0.0600835908233159	0.174961051309698	0	0.0272797279353766	0	0	0.000566716035496095	0.0048928256540124	0	0.316134670523332	0.952545844987038
TCGA-25-1633-01	0.110999207337163	0	0.0328230378205099	0.138266724532689	0	0.122060276498128	0.00881914238340229	0.0886513019104605	0.0688400759795458	0	0	0.010144550141265	0.0395308124181002	0.0670468551176041	0.0561397260471306	0.180862522315539	0	0.044962570341785	0	0.00611677192960513	0	0.0247364252270714	0	0.315903476053037	0.953867007546388
TCGA-25-2396-01	0	0	0.0995549430275787	0.0665072997000614	0	0.115157503797963	0	0.133445135900834	0.0894728816037411	0	0	0.0811858860634639	0.069981926790705	0.0939370451047288	0.0607185915240283	0.148748890958853	0	0.0412898955280429	0	0	0	0	0	0.318017977418082	0.953193250637105
TCGA-61-1914-01	0.109558958166594	0	0.150237251875499	0.0216509505891067	0	0.149300522235734	0	0.0881136584928948	0	0	0	0.0499317682550057	0.037620215324074	0.082645589904287	0.0448202906238034	0.164728100261905	0	0.0575292937523581	0.0163667489624065	0	0	0.0274966515563322	0	0.312741707731391	0.951140985963682
TCGA-61-2094-01	0.0184686953537163	0.0411224077997618	0.171016645896976	0.127787662273516	0	0.127541710616635	0	0.160211239224806	0	0	0.0138514477419449	0.0183705406379414	0.0279420920438452	0.0633873055711855	0.041106894959121	0.0898580384627244	0.0627613606474962	0.03657395877033	0	0	0	0	0	0.405456223179188	0.913917211318291
TCGA-29-1705-01	0.130728977748227	0	0.102336499615111	0.0590638125529708	0	0.20859406294943	0	0.0610863086492397	0.0352836709861942	0	0	0.0417497433993756	0.0649541543610943	0.0917377357083724	0.0328116507828109	0.148263242721676	0	0	0	0.0225716848737976	0	0.000818455651700653	0	0.236836060069375	0.984616691442574
TCGA-36-1580-01	0.0235988986306447	0	0.0769239631077916	0.10412064689038	0	0.181420261691877	0	0.0800126981954699	0.0712384635213563	0	0	0.037115876011136	0.0636684968651566	0.0821644113018185	0.0614447873960669	0.13844720510375	0.0468005105886793	0.0258102073883982	0.00300399153670721	0.00233851839007556	0	0.00189106338069222	0	0.339473554963806	0.942854097445538
TCGA-25-2401-01	0.0314041863062245	0	0.110818026815848	0.0684717741201318	0	0.139876284808073	0	0.0872306009684749	0.0371966072314912	0	0	0.0222730233455288	0.0818665415120331	0.126945483476504	0.0674894226973922	0.171351444731942	0	0.0403556684664362	0.00183694188019999	0	0	0.0128839936397203	0	0.362026957079177	0.932456972984639
TCGA-5X-AA5U-01	0.0494832874912911	0.0317609149466025	0	0	0	0.105540352792372	0	0.157853486228825	0	0	0	0.108591216642354	0.0610365819646522	0.192686333342309	0.021350871631601	0.0584785845731852	0.0866436868296523	0.0650669100458978	0	0.0615077735112579	0	0	0.34	0.0790397851864281	1.0608975684604
TCGA-13-0916-01	0.0871993036159776	0	0.157632575872158	0.111747484485539	0	0.058739386811434	0	0.0933140589899819	0.0408062819780027	0	0	0.0509536265579271	0.0262937618085957	0.107824684177908	0.0744660045763039	0.149844694546644	0	0.0302586163823758	0.0109195201971523	0	0	0	0	0.305727501317854	0.955297014007466
TCGA-23-2084-01	0	0	0.138289671680492	0.0149761230961629	0	0.187756945849659	0	0.074734458150967	0.0423294243809478	0	0.0239757745869518	0.038976160576438	0.130032373064011	0.0525582175659156	0.0604409587168325	0.17312916538183	0	0.0618419478288364	0	0	0	0.000958779120956491	0	0.258218323426303	0.97474008893961
TCGA-36-1577-01	0.219149792706332	0	0.062367885915968	0.0627069961695545	0	0.115429749161074	0	0	0.056262412845793	0	0	0.0996752048465347	0.0676777293570563	0.0709348129666409	0	0.126756484788384	0	0.0752572269773884	0	0	0	0.0437817042652741	0.55	0.0558993581041382	1.06363239390719
TCGA-24-1551-01	0	0.0189575559918338	0.0183723153923404	0.164264819252754	0	0.108812287322385	0	0.0793706468633994	0.0715445904541752	0	0	0.0721054124049049	0.0971018881232346	0.0752545135499014	0.0751391251647253	0.135545257937627	0.00848440044529971	0.0233611384394548	0.0275762048321387	0	0	0.0241098438258256	0	0.329362935909712	0.950318168508172
TCGA-61-1998-01	0.086887006916363	0	0.0495163361936513	0	0	0.252922221324356	0	0.0420531944199508	0.018914423669444	0	0.0176556692060948	0.0351636175541252	0.0890985621109535	0.104335483773647	0.0443396282201524	0.201048630068004	0.0318536731871109	0.0140571177846173	0	0	0	0.0121544355715287	0	0.297263620946492	0.960935573788061
TCGA-20-1684-01	0.030720033271097	0	0.174328093029023	0	0	0.0927411371913068	0	0.084386460428705	0.112943081524228	0	0	0.0819775743136918	0.0612125718568005	0.0902566884809916	0.0407545808083461	0.14887399680942	0	0.0523616378245592	0.0294441444618298	0	0	0	0.16	0.102114000061164	1.03062471786409
TCGA-24-1556-01	0.0402204091028229	0	0.131187759900886	0	0	0.0655200195858834	0	0.176096844130789	0.0481229104640606	0	0.00403993642404535	0.0476043021532343	0.0834598857892304	0.120895310647064	0.0845407299370196	0.173813444650558	0	0.0244984472144064	0	0	0	0	0	0.306333911070168	0.956114330544966
TCGA-57-1582-01	0.109617246813514	0	0.142188030861347	0.0524967774120104	0	0.131464143468594	0.000315229975222822	0.077745332697198	0.031531732375633	0	0	0.0440121401873538	0.0437015809615169	0.134843112434078	0.0595858147007555	0.164476874158972	0	0	0.00802198395380477	0	0	0	0	0.25425875318445	0.976225400444087
TCGA-04-1362-01	0.104108733370193	0	0.0810112958527833	0.0151023721883514	0	0.28514733045944	0	0.0151802159254918	0	0	0.0188243733908746	0.0480610091833358	0.15713403458326	0.0579063385896599	0.0201786948301072	0.108688724459384	0	0.0687356032933957	0	0.0199212738737233	0	0	0	0.140717932351429	1.02257893619166
TCGA-61-2113-01	0.0287651970102049	0	0.0963381167706915	0.0321855455566444	0	0.266874872421079	0	0.0949657628608286	0.00528751337899386	0	0.0372306920827422	0.00820998220059946	0.0322216849041812	0.0872254430614551	0.0526250492103843	0.160058426512527	0	0.0593299621084612	0	0.0319240630846943	0	0.00675768883651308	0	0.282141712986501	0.966984880026863
